country,OVERALL_INDEX_HC,OVERALL_INDEX_GGI,HUMANCAPITAL,GGGI,CAPACITY,DEPLOYMENT,DEVELOPMENT,KNOWHOW,ECONOMIC_PARTICIPATION_AND_OPPORTUNITY,EDUCATIONAL_ATTAINMENT,HEALTH_AND_SURVIVAL,POLITICAL_EMPOWERMENT,Region,GDP
Qatar,63.97,0.626,54,113,58.7,78.5,67.4,51.2,0.523,1,0.965,0.016,MIDDLE EAST AND NORTH AFRICA,118215
Luxembourg,69.61,0.706,30,56,69.2,67,71.3,70.9,0.667,1,0.973,0.184,WESTERN EUROPE,97019
Singapore,73.28,0.702,11,62,76.4,70.5,73.6,72.5,0.752,0.977,0.971,0.11,EAST ASIA AND THE PACIFIC,81443
Brunei Darussalam,62.82,0.671,57,91,59,67.1,66.7,58.5,0.692,0.99,0.969,0.031,EAST ASIA AND THE PACIFIC,71789
Kuwait,56.08,0.628,93,112,49.4,67.4,55.7,51.8,0.518,0.996,0.969,0.027,MIDDLE EAST AND NORTH AFRICA,69329
United Arab Emirates,65.48,0.649,44,107,60.4,64.9,75.8,60.8,0.459,0.994,0.965,0.18,MIDDLE EAST AND NORTH AFRICA,67133
Norway,77.12,0.83,1,2,80.46,73.18,82.63,72.22,0.816,0.999,0.973,0.53,WESTERN EUROPE,63811
Ireland,71.67,0.794,19,8,75.5,62.3,80,68.8,0.71,1,0.971,0.493,WESTERN EUROPE,62828
Switzerland,76.48,0.755,3,21,76.36,69.12,84.87,75.57,0.743,0.993,0.972,0.314,WESTERN EUROPE,56625
United States,74.84,0.718,4,46,78.18,68.72,83.45,68.99,0.776,1,0.973,0.124,NORTH AMERICA,53273
Saudi Arabia,58.52,0.584,80,120,70.6,47.7,63.2,52.6,0.32,0.975,0.965,0.077,MIDDLE EAST AND NORTH AFRICA,50458
Netherlands,73.07,0.737,13,29,74.1,65.4,83.6,69.2,0.657,1,0.97,0.323,WESTERN EUROPE,47128
Sweden,73.95,0.816,8,5,76.2,69.6,77.1,72.9,0.809,0.999,0.969,0.486,WESTERN EUROPE,46441
Denmark,74.4,0.776,5,14,79.4,71.4,78.7,68.2,0.728,1,0.971,0.406,WESTERN EUROPE,45686
Iceland,71.44,0.878,21,1,58.4,75.5,79.5,72.3,0.798,0.995,0.969,0.75,WESTERN EUROPE,45276
Bahrain,64.98,0.632,46,110,76.3,67.9,61.9,53.9,0.537,0.991,0.961,0.037,MIDDLE EAST AND NORTH AFRICA,44456
Australia,71.56,0.731,20,32,78.4,66.2,80.2,61.4,0.724,1,0.97,0.232,EAST ASIA AND THE PACIFIC,44414
