대,선거구명,기호,정당명,성명,한자,성별,생년월일,연령,직업,학력,득표율
1,서울특별시,1,민주자유당,정원식,鄭元植,남,1928.08.05,66,기타,미국피바디대학원졸,20.67
1,서울특별시,2,민주당,조순,趙淳,남,1928.02.01,67,교육자,미국켈리포니아버클리대학원졸,42.35
1,서울특별시,3,친민당,박홍래,朴弘來,남,1948.07.13,46,정치인,경기대경영대학원최고경영자과정1년수료,0.51
1,서울특별시,4,통일한국당,고순복,高順福,남,1940.01.15,55,변호사,동국대대학원졸,0.21
1,서울특별시,5,무소속,김명호,金明豪,남,1955.01.21,40,기타,미국트리니티신학교졸,0.2
1,서울특별시,6,무소속,김옥선,金鈺仙,여,1934.04.02,61,정치인,중앙대대학원정치학박사과정수료,0.36
1,서울특별시,7,무소속,박찬종,朴燦鍾,남,1939.04.19,56,변호사,서울대상대경제학과졸,33.51
1,서울특별시,8,무소속,정기용,鄭基用,남,1940.10.29,54,기타,미국링컨대2년수료,0.12
1,서울특별시,9,무소속,황산성,黃山城,여,1944.11.13,50,변호사,서울대법대졸,2.01
1,부산광역시,1,민주자유당,문정수,文正秀,남,1939.08.09,55,정당인,연세대학교 행정대학원 졸업,51.4
1,부산광역시,2,민주당,노무현,盧武鉉,남,1946.08.06,48,정당인,부산상고졸업,37.58
1,부산광역시,3,무소속,김현옥,金玄玉,남,1926.10.27,68,무,육군사관학교 줄업,9.84
1,부산광역시,4,무소속,배상한,裵相漢,남,1928.09.11,66,통계연구소,성균관대 대학원(연구과정 중퇴),1.16
1,대구광역시,1,민주자유당,조해녕,曺海寧,남,1943.11.04,51,정당인,서울대행정대학원졸,16.87
1,대구광역시,2,자유민주연합,이의익,李義翊,남,1940.05.06,55,정당인,성균관대행정대학원졸,22.14
1,대구광역시,3,무소속,문희갑,文熹甲,남,1937.06.09,58,대구경제연구소이사장,서울대행정대학원졸,36.79
1,대구광역시,4,무소속,안유호,安有鎬,남,1942.03.01,53,발명가,영남대경영대학원졸,2.84
1,대구광역시,5,무소속,이해봉,李海鳳,남,1940.06.15,55,무,서울대법과대학졸,21.35
1,인천광역시,1,민주자유당,최기선,崔箕善,남,1945.05.15,50,정치인,서울대법대졸,40.81
1,인천광역시,2,민주당,신용석,愼鏞碩,남,1941.10.18,53,정치인,서울대농화학과졸,31.73
1,인천광역시,3,자유민주연합,강우혁,康祐赫,남,1938.01.20,57,정당인,서울대법대졸,27.44
1,광주광역시,1,민주자유당,김동환,金東桓,남,1932.03.18,63,지역진흥연구회장,고려대졸,10.28
1,광주광역시,2,민주당,송언종,宋彦鍾,남,1937.04.05,58,변호사,서울대졸,89.71
1,대전광역시,1,민주자유당,염홍철,廉弘喆,남,1944.09.06,50,정당인,중앙대대학원 정치외교학과 졸,20.93
1,대전광역시,2,민주당,변평섭,邊平燮,남,1940.02.10,55,무,충남대학교 영문학과 졸,10.84
1,대전광역시,3,자유민주연합,홍선기,洪善基,남,1936.10.03,58,정당인,중앙대학교 경제학과 졸,63.76
1,대전광역시,4,무소속,이대형,李大衡,남,1942.03.10,53,무,서울대학교 법과대학 졸,4.45
1,경기도,1,민주자유당,이인제,李仁濟,남,1948.12.11,46,정치인,서울대법대졸,40.56
1,경기도,2,민주당,장경우,張慶宇,남,1942.04.12,53,정치인,고려대경영학과졸,29.6
1,경기도,3,자유민주연합,김문원,金文元,남,1941.03.05,54,정치인,서울대정치학과졸,10.15
1,경기도,4,무소속,임사빈,任仕彬,남,1935.08.26,59,정치인,건국대행정학과졸,19.67
1,강원도,1,민주자유당,이상룡,李相龍,남,1934.02.27,61,무,고려대졸,34.17
1,강원도,2,자유민주연합,최각규,崔珏圭,남,1933.11.03,61,무,서울대졸,65.82
1,충청북도,1,민주자유당,김덕영,金德永,남,1942.06.08,53,정치인,서울대 법학과졸,23.29
1,충청북도,2,민주당,이용희,李龍熙,남,1931.06.10,64,정치인,대전사범학교졸,24.5
1,충청북도,3,자유민주연합,주병덕,朱炳德,남,1936.11.05,58,정치인,서울대행정대학원졸,36.43
1,충청북도,4,무소속,양성연,梁成淵,남,1933.10.19,61,회사원,육군사관학교졸,3.72
1,충청북도,5,무소속,윤석조,尹錫祚,남,1940.07.20,54,서주산업(주)회장,서울대문리대졸,4.06
1,충청북도,6,무소속,조남성,趙南星,남,1944.03.06,51,공익사업,서울대문리대졸,7.97
1,충청남도,1,민주자유당,박중배,朴重培,남,1939.12.12,55,정당인,중앙대 법학과졸,19.18
1,충청남도,2,민주당,조중연,趙重衍,남,1936.07.22,58,정당인,성균관대 정치학과 졸,12.92
1,충청남도,3,자유민주연합,심대평,沈大平,남,1941.04.07,54,정당인,서울대 경제학과 졸,67.88
1,전라북도,1,민주자유당,강현욱,姜賢旭,남,1938.03.27,57,정당인,서울대졸,32.84
1,전라북도,2,민주당,유종근,柳鍾根,남,1944.03.02,51,정당인,미국뉴욕주립대학원졸업,67.15
1,전라남도,1,민주자유당,전석홍,全錫洪,남,1934.01.13,61,무직,서울대환경대학원졸,26.49
1,전라남도,2,민주당,허경만,許京萬,남,1938.03.04,57,정치인,서울대사법대학원졸,73.5
1,경상북도,1,민주자유당,이의근,李義根,남,1938.11.07,56,정치인,영남대졸,37.94
1,경상북도,2,자유민주연합,박준홍,朴俊弘,남,1947.01.26,48,정치인,경희대졸,27.71
1,경상북도,3,무소속,이판석,李判石,남,1934.01.17,61,무직,서울대학원졸업,34.33
1,경상남도,1,민주자유당,김혁규,金爀珪,남,1939.08.01,55,무,부산대졸,63.84
1,경상남도,2,자유민주연합,김용균,金容鈞,남,1942.02.18,53,변호사,서울대졸,36.15
1,제주특별자치도,1,민주자유당,우근민,禹瑾敏,남,1942.11.04,52,무,경희대 대학원 졸업,32.53
1,제주특별자치도,2,민주당,강보성,姜普性,남,1930.11.05,64,정치인,단국대 대학원 수료,24.27
1,제주특별자치도,3,무소속,신구범,愼久範,남,1942.02.02,53,,육사 4년 중퇴,40.64
1,제주특별자치도,4,무소속,신두완,申斗完,남,1928.12.15,66,정치인,고려대학원 수료,2.54
2,서울특별시,1,한나라당,최병렬,崔秉烈,남,1938.09.16,59,정당인,미남가주대학원졸업,43.99
2,서울특별시,2,새정치국민회의,고건,高建,남,1938.01.02,60,정당인,서울대 환경대학원 졸업,53.46
2,서울특별시,4,무소속,이병호,李丙昊,남,1926.03.17,72,변호사,서울대 문리대학 정치학과 수료,2.54
2,부산광역시,1,한나라당,안상영,安相英,남,1938.11.18,59,정당인,서울대 토목공학과 졸업,45.14
2,부산광역시,2,새정치국민회의,하일민,河一民,남,1940.03.21,58,부산대 철학과 교수,경북대 대학원 철학과 졸업,11.4
2,부산광역시,4,무소속,김기재,金杞載,남,1946.09.06,51,정치인,동국대 행정대학원 졸업,43.45
2,대구광역시,1,한나라당,문희갑,文熹甲,남,1937.06.09,60,대구광역시장,서울대 행정대학원 졸업,71.98
2,대구광역시,3,자유민주연합,이의익,李義翊,남,1940.05.06,58,정당인,성균관대 경영행정대학원 졸업,20.66
2,대구광역시,4,국민신당,유성환,兪成煥,남,1931.08.20,66,정치인,영남대 법정대학 졸업,7.35
2,인천광역시,1,한나라당,안상수,安相洙,남,1946.05.28,52,정당인,美 트로이대학원 경영학과 졸업,34.04
2,인천광역시,3,자유민주연합,최기선,崔箕善,남,1945.05.15,53,공무원,서울대 법학과 졸업,53.49
2,인천광역시,4,국민신당,김용모,金容模,남,1947.10.16,50,정당인,서울대 정치학과 졸업,12.45
2,광주광역시,2,새정치국민회의,고재유,高在維,남,1938.03.20,60,정당인,조선대 대학원 법학과 졸업,67.2
2,광주광역시,4,무소속,이승채,李承采,남,1955.02.25,43,변호사,조선대 대학원 법학과 졸업,32.79
2,대전광역시,3,자유민주연합,홍선기,洪善基,남,1936.10.03,61,대전광역시장,중앙대 경제학과 졸업,73.68
2,대전광역시,4,국민신당,송천영,宋千永,남,1939.12.16,58,정당인,국민대 법학과 중퇴,18.12
2,대전광역시,5,무소속,조명현,曺明鉉,남,1937.12.30,60,충남대 정외과 교수,미국 Miami대 정치학박사 취득,8.18
2,울산광역시,1,한나라당,심완구,沈完求,남,1938.07.01,59,울산광역시장,성균관대 경제학과졸업,42.74
2,울산광역시,3,자유민주연합,차화준,車和俊,남,1935.01.05,63,정치인,연세대 정외과 졸업,7.91
2,울산광역시,4,국민신당,강정호,姜正昊,남,1954.12.13,43,변호사,부산대 법학과 졸업,9.89
2,울산광역시,5,무소속,송철호,宋哲鎬,남,1949.05.26,49,변호사,고려대 행정학과 졸업,39.44
2,경기도,1,한나라당,손학규,孫鶴圭,남,1947.11.22,50,정당인,영국 옥스포드대 정치학박사,45.69
2,경기도,2,새정치국민회의,임창열,林昌烈,남,1944.05.27,54,정치인,윌리암스칼리지개발경제학과졸업,54.3
2,강원도,1,한나라당,김진선,金振선,남,1946.11.10,51,정당인,동국대 행정학과 졸업,39.27
2,강원도,3,자유민주연합,한호선,韓灝鮮,남,1936.09.28,61,정당인,고려대 행정학과 졸업,33.84
2,강원도,4,무소속,이상룡,李相龍,남,1934.02.27,64,관동대 객원교수,고려대 경제학과 졸업,26.87
2,충청북도,1,한나라당,주병덕,朱炳德,남,1936.11.05,61,충청북도지사,서울대 행정대학원 졸업,25.85
2,충청북도,3,자유민주연합,이원종,李元鍾,남,1942.04.04,56,정당인,성균관대 행정학과 졸업,74.14
2,충청남도,1,한나라당,한청수,韓淸洙,남,1940.03.05,58,정당인,서울대 행정학과 졸업,15.36
2,충청남도,3,자유민주연합,심대평,沈大平,남,1941.04.07,57,정당인,서울대 경제학과 졸업,84.63
2,전라북도,2,새정치국민회의,유종근,柳鍾根,남,1944.03.02,54,전라북도 도지사,뉴욕주립대 대학원 졸업(71∼73),100
2,전라남도,2,새정치국민회의,허경만,許京萬,남,1938.03.04,60,공무원,서울대 사법대학원 졸업,100
2,경상북도,1,한나라당,이의근,李義根,남,1938.11.07,59,경상북도지사,영남대 경제학과 졸업,71.96
2,경상북도,3,자유민주연합,이판석,李判石,남,1934.01.17,64,정당인,서울대 환경대학원 졸업,28.03
2,경상남도,1,한나라당,김혁규,金爀珪,남,1939.08.01,58,공무원,부산대법정대학행정학과졸업,74.64
2,경상남도,2,새정치국민회의,강신화,姜信和,남,1941.10.01,56,정당인,부산사범대체육과졸업,12.84
2,경상남도,4,무소속,허문도,許文道,남,1940.02.26,58,정치평론가,일본동경대사회학과박사과정수료,12.5
2,제주특별자치도,1,한나라당,현임종,玄林鍾,남,1934.02.22,64,정당인,서울대 상과 졸업,16.45
2,제주특별자치도,2,새정치국민회의,우근민,禹瑾敏,남,1942.11.04,55,정당인,경희대 행정대학원 졸업,52.76
2,제주특별자치도,4,무소속,신구범,愼久範,남,1942.02.02,56,제주도지사,육사 4년 중퇴,30.78
3,서울특별시,1,한나라당,이명박,李明博,남,1941.12.19,60,정당인,고려대학교 경영대학 4년 졸업,52.28
3,서울특별시,2,새천년민주당,김민석,金民錫,남,1964.05.29,38,정당인,94∼95하버드대케네디행정대학원행정학석사,43.02
3,서울특별시,3,녹색평화당,임삼진,林三鎭,남,1960.03.26,42,정당인,성균관대학교 행정대학원 5학기 졸업,0.8
3,서울특별시,4,민주노동당,이문옥,李文玉,남,1939.11.10,62,정당인,광주고등학교 졸업,2.52
3,서울특별시,5,사회당,원용수,元容秀,남,1969.12.28,32,정당인,서울대학교 법학과 4년 제적,0.37
3,서울특별시,6,무소속,이경희,李京熹,남,1974.01.20,28,민족통일건설(주) 대표,경희대학교 법학과 4년 졸업,0.98
