Country,Region,IndexRank,GlobalIndex,ValueRank,Value,ECONOMIC,EDUCATIONAL,HEALTH,POLITICAL
Iceland,WESTERN EUROPE,1,0.878,5,70332,0.798,0.995,0.969,0.75
Norway,WESTERN EUROPE,2,0.83,3,74941,0.816,0.999,0.973,0.53
Finland,WESTERN EUROPE,3,0.823,15,46017,0.793,1,0.978,0.519
Rwanda,SUB-SAHARAN AFRICA,4,0.822,170,772,0.82,0.951,0.98,0.539
Sweden,WESTERN EUROPE,5,0.816,11,53218,0.809,0.999,0.969,0.486
Nicaragua,LATIN AMERICA AND THE CARIBBEAN,6,0.814,134,2207,0.702,1,0.98,0.576
Slovenia,EASTERN EUROPE AND CENTRAL ASIA,7,0.805,34,23654,0.801,1,0.98,0.44
Ireland,WESTERN EUROPE,8,0.794,4,70638,0.71,1,0.971,0.493
New Zealand,EAST ASIA AND THE PACIFIC,9,0.791,19,41593,0.768,0.998,0.969,0.43
Philippines,EAST ASIA AND THE PACIFIC,10,0.79,125,2976,0.764,1,0.979,0.416
France,WESTERN EUROPE,11,0.778,21,39869,0.683,1,0.977,0.453
Germany,WESTERN EUROPE,12,0.778,17,44550,0.72,0.97,0.975,0.447
Namibia,SUB-SAHARAN AFRICA,13,0.777,93,5413,0.813,0.999,0.98,0.318
Denmark,WESTERN EUROPE,14,0.776,9,56444,0.728,1,0.971,0.406
United Kingdom,WESTERN EUROPE,15,0.77,22,39735,0.705,0.999,0.971,0.404
Canada,NORTH AMERICA,16,0.769,16,45077,0.744,1,0.97,0.361
Bolivia,LATIN AMERICA AND THE CARIBBEAN,17,0.758,120,3353,0.692,0.956,0.976,0.408
Bulgaria,EASTERN EUROPE AND CENTRAL ASIA,18,0.756,73,8064,0.71,0.99,0.979,0.346
South Africa,SUB-SAHARAN AFRICA,19,0.756,85,6180,0.652,0.993,0.98,0.399
Latvia,EASTERN EUROPE AND CENTRAL ASIA,20,0.756,50,15547,0.798,1,0.98,0.246
Switzerland,WESTERN EUROPE,21,0.755,2,80591,0.743,0.993,0.972,0.314
Burundi,SUB-SAHARAN AFRICA,22,0.755,186,312,0.911,0.876,0.98,0.255
Barbados,LATIN AMERICA AND THE CARIBBEAN,23,0.75,41,17859,0.877,1,0.973,0.15
Spain,WESTERN EUROPE,24,0.746,29,28359,0.657,0.998,0.973,0.354
Belarus,EASTERN EUROPE AND CENTRAL ASIA,26,0.744,88,5760,0.827,0.999,0.979,0.173
Bahamas,LATIN AMERICA AND THE CARIBBEAN,27,0.743,26,31255,0.871,1,0.978,0.122
Lithuania,EASTERN EUROPE AND CENTRAL ASIA,28,0.742,44,16730,0.749,1,0.98,0.241
Mozambique,SUB-SAHARAN AFRICA,29,0.741,183,429,0.789,0.857,0.977,0.34
Moldova,EASTERN EUROPE AND CENTRAL ASIA,30,0.74,133,2280,0.811,0.992,0.98,0.176
Belgium,WESTERN EUROPE,31,0.739,18,43582,0.716,1,0.976,0.264
Netherlands,WESTERN EUROPE,32,0.737,12,48346,0.657,1,0.97,0.323
Portugal,WESTERN EUROPE,33,0.734,35,21161,0.73,0.992,0.977,0.24
Argentina,LATIN AMERICA AND THE CARIBBEAN,34,0.732,54,14467,0.596,0.998,0.98,0.356
Australia,EAST ASIA AND THE PACIFIC,35,0.731,10,55707,0.724,1,0.97,0.232
Colombia,LATIN AMERICA AND THE CARIBBEAN,36,0.731,84,6273,0.74,1,0.98,0.206
Estonia,EASTERN EUROPE AND CENTRAL ASIA,37,0.731,38,19840,0.726,1,0.979,0.218
Albania,EASTERN EUROPE AND CENTRAL ASIA,38,0.728,101,4583,0.673,0.986,0.968,0.284
Poland,EASTERN EUROPE AND CENTRAL ASIA,39,0.728,55,13823,0.702,1,0.98,0.23
Serbia,EASTERN EUROPE AND CENTRAL ASIA,40,0.727,87,5899,0.67,0.997,0.98,0.262
Costa Rica,LATIN AMERICA AND THE CARIBBEAN,41,0.727,59,11685,0.62,0.999,0.974,0.314
Ecuador,LATIN AMERICA AND THE CARIBBEAN,42,0.724,86,6098,0.642,0.996,0.977,0.283
Panama,LATIN AMERICA AND THE CARIBBEAN,43,0.722,52,15089,0.691,0.995,0.98,0.222
