Country,Region,GGI,ECONOMIC PARTICIPATION AND OPPORTUNITY,EDUCATIONAL ATTAINMENT,HEALTH AND SURVIVAL,POLITICAL EMPOWERMENT,GPI,Violence Containment Cost as Percentage of GDP,Ongoing Domestic and International Conflict Domain,Societal Safety and Security Domain,Militarisation Domain
Iceland,WE,0.874,0.806,1,0.97,0.719,1.192,2,1.081,1.248,1.264
Denmark,WE,0.754,0.735,1,0.97,0.309,1.246,3,1.129,1.302,1.307
Austria,WE,0.716,0.65,0.987,0.98,0.246,1.278,3,1.081,1.386,1.369
New Zealand,EAP,0.781,0.765,0.999,0.97,0.39,1.287,4,1.081,1.449,1.285
Portugal,WE,0.737,0.713,0.993,0.973,0.268,1.356,5,1.081,1.573,1.358
Czech Republic,EECA,0.69,0.647,1,0.979,0.134,1.36,5,1.125,1.639,1.176
Switzerland,WE,0.776,0.745,0.993,0.974,0.391,1.370,3,1,1.294,2.036
Canada,NA,0.731,0.732,1,0.969,0.222,1.388,2,1.149,1.472,1.58
Japan,EAP,0.66,0.569,0.99,0.979,0.103,1.395,3,1.403,1.347,1.44
Slovenia,EECA,0.786,0.784,1,0.973,0.385,1.408,4,1.484,1.415,1.285
Finland,WE,0.845,0.794,1,0.98,0.607,1.429,5,1.117,1.424,1.895
Ireland,WE,0.797,0.709,1,0.979,0.502,1.433,3,1.282,1.614,1.347
Bhutan,SA,0.642,0.619,0.925,0.966,0.056,1.445,5,1.403,1.571,1.272
Sweden,WE,0.815,0.802,0.999,0.974,0.486,1.461,5,1.117,1.339,2.172
Australia,EAP,0.721,0.719,1,0.974,0.193,1.465,5,1.137,1.589,1.722
Germany,WE,0.766,0.691,0.966,0.979,0.428,1.486,5,1.126,1.571,1.839
Norway,WE,0.842,0.818,1,0.974,0.576,1.500,3,1.117,1.313,
Belgium,WE,0.745,0.731,1,0.974,0.275,1.528,5,1.165,1.852,1.459
Hungary,EECA,0.669,0.672,0.992,0.979,0.035,1.534,6,1.484,1.794,1.13
Singapore,EAP,0.712,0.793,0.975,0.967,0.111,1.535,5,1.069,1.603,2.098
Netherlands,WE,0.756,0.659,0.994,0.97,0.401,1.541,5,1.14,1.528,2.132
Poland,EECA,0.727,0.69,1,0.979,0.238,1.557,6,1.291,1.747,1.582
Mauritius,SSA,0.652,0.55,0.991,0.98,0.087,1.559,6,1,2.044,1.485
Slovak Republic,EECA,0.679,0.648,1,0.973,0.093,1.603,5,1.484,1.747,1.518
Spain,WE,0.738,0.668,0.998,0.972,0.316,1.604,4,1.081,1.852,1.896
Croatia,EECA,0.7,0.672,0.995,0.979,0.154,1.633,5,1.282,1.863,1.716
Chile,LAC,0.699,0.565,0.999,0.979,0.254,1.635,5,1,2.114,
Botswana,SSA,0.715,0.819,1,0.973,0.068,1.639,19,1,2.126,1.689
Bulgaria,EECA,0.726,0.716,0.993,0.979,0.215,1.646,7,1.081,2.099,1.649
Malaysia,EAP,0.666,0.658,0.985,0.969,0.051,1.648,4,1.111,2.26,1.311
Romania,EECA,0.69,0.699,0.992,0.979,0.09,1.649,6,1.093,1.933,1.939
Latvia,EECA,0.755,0.785,1,0.98,0.255,1.680,6,1.484,2.019,1.329
Costa Rica,LAC,0.736,0.606,1,0.975,0.365,1.699,6,1.201,2.171,1.581
Qatar,MENA,0.643,0.619,0.982,0.957,0.013,1.716,7,1.403,1.818,2
Uruguay,LAC,0.681,0.643,0.999,0.98,0.101,1.726,6,1,2.331,1.683
Estonia,EECA,0.747,0.703,0.995,0.98,0.308,1.732,6,1.52,2.034,1.468
Lithuania,EECA,0.744,0.757,1,0.979,0.239,1.735,7,1.484,2.112,1.389
