round,district,party,name,voterate,election,series
1,경북,민주자유당,이의근,37.94,당선,자유
1,경북,자민련,박준홍,27.71,낙선,자유
1,경북,무소속,이판석,34.33,낙선,무소속자유
1,경남,민주자유당,김혁규,63.84,당선,자유
1,경남,자민련,김용균,36.15,낙선,자유
1,전북,민주자유당,강현욱,32.84,낙선,자유
1,전북,민주당,유종근,67.15,당선,민주
1,전남,민주자유당,전석홍,26.49,낙선,자유
1,전남,민주당,허경만,73.5,당선,민주
1,서울,민주자유당,정원식,20.67,낙선,자유
1,서울,민주당,조순,42.35,당선,민주
1,서울,무소속,박찬종,33.51,낙선,무소속
1,서울,무소속,황산성,2.01,낙선,무소속
1,경기,민주자유당,이인제,40.56,당선,자유
1,경기,민주당,장경우,29.6,낙선,민주
1,경기,자민련,김문원,10.15,낙선,자유
1,경기,무소속,임사빈,19.67,낙선,무소속자유
2,경북,한나라당,이의근,71.96,당선,자유
2,경북,자유민주연합,이판석,28.03,낙선,자유
2,경남,한나라당,김혁규,74.64,당선,자유
2,경남,새정치국민회의,강신화,12.84,낙선,민주
2,경남,무소속,허문도,12.5,낙선,무소속자유
2,전북,새정치국민회의,유종근,100,당선,민주
2,전남,새정치국민회의,허경만,100,당선,민주
2,서울,한나라당,최병렬,43.99,낙선,자유
2,서울,새정치국민회의,고건,53.46,당선,민주
2,서울,무소속,이병호,2.54,낙선,무소속
2,경기,한나라당,손학규,45.69,낙선,자유
2,경기,새정치국민회의,임창열,54.3,당선,민주
3,경북,한나라당,이의근,85.49,당선,자유
3,경북,무소속,조영건,14.5,낙선,무소속자유
3,경남,한나라당,김혁규,74.5,당선,자유
3,경남,새천년민주당,김두관,16.88,낙선,민주
3,경남,민주노동당,임수태,8.6,낙선,진보
3,전북,한나라당,라경균,8.3,낙선,자유
3,전북,새천년민주당,강현욱,74.56,당선,민주
3,전북,무소속,손주항,17.12,낙선,무소속민주
3,전남,한나라당,황수연,5.27,낙선,자유
3,전남,새천년민주당,박태영,57.76,당선,민주
3,전남,무소속,송재구,24.24,낙선,무소속
3,전남,무소속,송하성,9.17,낙선,무소속
3,전남,무소속,안수원,3.53,낙선,무소속자유
3,서울,한나라당,이명박,52.28,당선,자유
3,서울,새천년민주당,김민석,43.02,낙선,민주
3,서울,민주노동당,이문옥,2.52,낙선,진보
3,경기,한나라당,손학규,58.37,당선,자유
3,경기,새천년민주당,진념,35.98,낙선,민주
3,경기,민주노동당,김준기,5.63,낙선,진보
4,경북,열린우리당,박명재,23.19,낙선,민주
4,경북,한나라당,김관용,76.8,당선,자유
4,경남,열린우리당,김두관,25.41,낙선,민주
4,경남,한나라당,김태호,63.12,당선,자유
4,경남,민주노동당,문성현,10.05,낙선,진보
4,경남,국민중심당,김재주,1.4,낙선,자유
4,전북,열린우리당,김완주,48.08,당선,민주
4,전북,한나라당,문용주,7.76,낙선,자유
4,전북,민주당,정균환,36.53,낙선,민주
4,전북,민주노동당,염경석,7.61,낙선,진보
4,전남,열린우리당,서범석,19.19,낙선,민주
4,전남,한나라당,박재순,5.85,낙선,자유
4,전남,민주당,박준영,67.69,당선,민주
4,전남,민주노동당,박웅두,7.25,낙선,진보
4,서울,열린우리당,강금실,27.31,낙선,민주
4,서울,한나라당,오세훈,61.05,당선,자유
4,서울,민주당,박주선,7.71,낙선,민주
4,서울,민주노동당,김종철,2.97,낙선,진보
4,경기,열린우리당,진대제,30.75,낙선,민주
4,경기,한나라당,김문수,59.68,당선,자유
4,경기,민주당,박정일,4.05,낙선,민주
4,경기,민주노동당,김용한,5.5,낙선,진보
