Country,gii,ggi,gii-rank,ggi-rank,gii-economy,gii-education,gii-health,gii-political,ggi-economy,ggi-education,ggi-health,ggi-political
 Switzerland,0.04,0.785,1,8,0.806,0.84,0.934,28.9,0.798,0.993,0.974,0.376
 Denmark,0.041,0.767,2,14,0.789,0.896,0.894,37.4,0.788,1,0.97,0.309
 Netherlands,0.044,0.776,3,12,0.812,0.859,0.914,36.4,0.732,1,0.97,0.401
 Sweden,0.048,0.823,4,4,0.806,0.826,0.928,43.6,0.836,0.996,0.974,0.486
 Iceland,0.051,0.881,5,1,0.789,0.884,0.937,41.3,0.836,1,0.97,0.719
 Norway,0.053,0.85,6,2,0.882,0.894,0.918,39.6,0.868,1,0.974,0.559
 Slovenia,0.053,0.784,7,9,0.758,0.863,0.898,27.7,0.778,1,0.973,0.385
 Finland,0.056,0.85,8,3,0.796,0.83,0.907,41.5,0.815,1,0.98,0.607
 Germany,0.066,0.779,9,11,0.787,0.891,0.905,36.9,0.737,0.987,0.979,0.413
 Korea,0.067,0.651,10,108,0.72,0.645,0.92,16.3,0.557,0.965,0.973,0.107
 Singapore,0.068,0.711,11,52,0,0,0.943,23.9,0.814,0.945,0.967,0.119
 Belgium,0.073,0.753,12,19,0.794,0.773,0.901,42.4,0.762,1,0.974,0.275
 Luxembourg,0.075,0.738,13,32,0.826,0.738,0.927,28.3,0.766,1,0.974,0.212
 Austria,0.078,0.733,14,35,0.757,0.785,0.912,30.3,0.705,1,0.98,0.246
 Spain,0.081,0.742,15,25,0.684,0.777,0.932,38,0.674,0.998,0.972,0.326
 Italy,0.085,0.726,16,40,0.696,0.734,0.945,30.1,0.603,0.995,0.974,0.331
 Portugal,0.091,0.731,17,38,0.669,0.712,0.905,34.8,0.712,0.995,0.973,0.244
 Canada,0.098,0.74,18,28,0.755,0.856,0.912,28.3,0.773,1,0.969,0.218
 France,0.102,0.761,19,15,0.752,0.776,0.921,25.7,0.699,1,0.98,0.365
 Israel,0.103,0.712,20,51,0.639,0.796,0.925,26.7,0.671,0.996,0.974,0.205
 Cyprus,0.116,0.671,21,94,0.722,0.688,0.891,11.6,0.643,0.998,0.974,0.069
 Japan,0.116,0.67,22,95,0.774,0.675,0.948,12.5,0.611,0.988,0.979,0.103
 Greece,0.119,0.685,23,82,0.657,0.733,0.905,19.7,0.644,0.996,0.979,0.12
 Australia,0.12,0.733,24,36,0.753,0.921,0.921,30.5,0.766,1,0.974,0.193
 Lithuania,0.121,0.74,25,29,0.675,0.833,0.778,23.4,0.759,0.994,0.979,0.227
 Ireland,0.127,0.807,26,5,0.769,0.883,0.905,19.9,0.777,0.998,0.979,0.474
 Czech Republic,0.129,0.687,27,76,0.757,0.866,0.873,19.6,0.636,1,0.979,0.134
 United Kingdom,0.131,0.758,29,18,0.752,0.871,0.894,26.7,0.724,1,0.974,0.335
 Estonia,0.131,0.749,28,21,0.684,0.856,0.835,23.8,0.711,0.999,0.98,0.308
 Poland,0.137,0.715,30,49,0.685,0.806,0.84,24.8,0.667,1,0.979,0.213
 Belarus,0.144,0.734,31,34,0.689,0.804,0.746,29.2,0.813,1,0.979,0.146
 Montenegro,0.156,0.689,32,74,0.657,0.738,0.823,17.3,0.67,0.997,0.975,0.114
 New Zealand,0.158,0.782,33,10,0,0,0.91,31.4,0.768,1,0.97,0.39
 China,0.164,0.682,34,84,0.521,0,0.784,23.6,0.657,0.988,0.919,0.162
 Slovakia,0.18,0.675,35,89,0.748,0.812,0.822,18.7,0.638,1,0.973,0.087
 Serbia,0.185,0.72,36,44,0.6,0.698,0.78,34,0.669,0.996,0.973,0.242
 Latvia,0.191,0.752,37,20,0.653,0.803,0.78,18,0.784,1,0.98,0.246
 Kazakhstan,0.202,0.719,38,46,0.712,0.758,0.674,20.1,0.749,1,0.98,0.148
 United States,0.203,0.74,39,30,0.692,0.85,0.856,19.5,0.826,0.999,0.975,0.162
 Malta,0.217,0.668,40,97,0.742,0.734,0.892,12.9,0.573,1,0.97,0.128
 Bulgaria,0.223,0.722,41,42,0.629,0.735,0.771,20.4,0.701,0.992,0.979,0.215
