대,선거구명,정당명,성명,한자,성별,생년월일,연령,직업,학력,경력,득표수,득표율
1,서울특별시,민주당,조순,趙淳,남,1928.02.01,67,교육자,미국켈리포니아버클리대학원졸,"부총리
한국은행총재","2,051,441",42.4
1,부산광역시,민주자유당,문정수,文正秀,남,1939.08.09,55,정당인,연세대학교 행정대학원 졸업,"국회의원3선(12,13,14)
민주자유당 사무총장","885,433",51.4
1,대구광역시,무소속,문희갑,文熹甲,남,1937.06.09,58,대구경제연구소이사장,서울대행정대학원졸,"국회의원
대통령경제수석비서관","383,272",36.8
1,인천광역시,민주자유당,최기선,崔箕善,남,1945.05.15,50,정치인,서울대법대졸,"제13대국회의원(부천남구)
제7대인천직할시장","383,965",41.1
1,광주광역시,민주당,송언종,宋彦鍾,남,1937.04.05,58,변호사,서울대졸,"광주시장
체신부장관","458,174",89.8
1,대전광역시,자유민주연합,홍선기,洪善基,남,1936.10.03,58,정당인,중앙대학교 경제학과 졸,"대전직할시장
충남도지사","342,959",63.8
1,경기도,민주자유당,이인제,李仁濟,남,1948.12.11,46,정치인,서울대법대졸,"대전지방법원판사
제13,14대 국회의원","1,264,914",40.6
1,강원도,자유민주연합,최각규,崔珏圭,남,1933.11.03,61,무,서울대졸,부총리겸경제기획원장관,"493,904",65.7
1,충청북도,자유민주연합,주병덕,朱炳德,남,1936.11.05,58,정치인,서울대행정대학원졸,"감사원감사위원
충청북도지사","250,105",36.4
1,충청남도,자유민주연합,심대평,沈大平,남,1941.04.07,54,정당인,서울대 경제학과 졸,"충청남도지사
대통령비서관 행정수석","616,006",67.9
1,전라북도,민주당,유종근,柳鍾根,남,1944.03.02,51,정당인,미국뉴욕주립대학원졸업,"뉴저지주립 럿커스대 교수
아태평화재단 사무부총장","653,295",67.2
1,전라남도,민주당,허경만,許京萬,남,1938.03.04,57,정치인,서울대사법대학원졸,"국회부의장
민주당상임고문","757,196",73.4
1,경상북도,민주자유당,이의근,李義根,남,1938.11.07,56,정치인,영남대졸,"경상북도지사
청와대행정수석비서관","541,535",37.9
1,경상남도,민주자유당,김혁규,金爀珪,남,1939.08.01,55,무,부산대졸,"제27대 경상남도지사
청와대 민정1비서관","1,177,397",63.8
1,제주특별자치도,무소속,신구범,愼久範,남,1942.02.02,53,,육사 4년 중퇴,"농림수산부 기획관리실장
제주도지사","111,205",40.6
2,서울특별시,새정치국민회의,고건,高建,남,1938.01.02,60,정당인,서울대 환경대학원 졸업,"서울특별시장,명지대학교총장
국무총리","1,838,348",53.5
2,부산광역시,한나라당,안상영,安相英,남,1938.11.18,59,정당인,서울대 토목공학과 졸업,"부산직할시장
해운항만청장","558,909",45.1
2,대구광역시,한나라당,문희갑,文熹甲,남,1937.06.09,60,대구광역시장,서울대 행정대학원 졸업,"대통령 경제수석비서관
대구광역시장","570,167",72
2,인천광역시,자유민주연합,최기선,崔箕善,남,1945.05.15,53,공무원,서울대 법학과 졸업,"민추협 대변인, 13대 국회의원
초대 민선 인천광역시장","375,051",53.5
2,광주광역시,새정치국민회의,고재유,高在維,남,1938.03.20,60,정당인,조선대 대학원 법학과 졸업,"광주지방검찰청 부이사관
광산구청장","261,578",67.2
2,대전광역시,자유민주연합,홍선기,洪善基,남,1936.10.03,61,대전광역시장,중앙대 경제학과 졸업,"대전직할시장
충청남도지사","286,255",73.7
2,울산광역시,한나라당,심완구,沈完求,남,1938.07.01,59,울산광역시장,성균관대 경제학과졸업,"12.13대 국회의원
울산광역시장","160,491",42.7
2,경기도,새정치국민회의,임창열,林昌烈,남,1944.05.27,54,정치인,윌리암스칼리지개발경제학과졸업,"통상산업부 장관
부총리겸 재정경제원 장관","1,549,189",54.3
2,강원도,한나라당,김진선,金振선,남,1946.11.10,51,정당인,동국대 행정학과 졸업,"강원도 행정부지사
강릉시장","268,559",39.3
2,충청북도,자유민주연합,이원종,李元鍾,남,1942.04.04,56,정당인,성균관대 행정학과 졸업,"충청북도지사
서울특별시장","451,533",74.1
2,충청남도,자유민주연합,심대평,沈大平,남,1941.04.07,57,정당인,서울대 경제학과 졸업,"대통령 비서실 행정수석
충청남도지사","656,795",84.6
2,전라북도,새정치국민회의,유종근,柳鍾根,남,1944.03.02,54,전라북도 도지사,뉴욕주립대 대학원 졸업(71∼73),"뉴저지주립 럿거스대 교수
대통령 경제고문(현재)","758,141",100
