ValueRank,Country,Value,IndexRank,GlobalIndex,ECONOMIC,EDUCATIONAL,HEALTH,POLITICAL,Region
2,Iceland,9.58,1,0.878,0.798,0.995,0.969,0.75,WESTERN EUROPE
1,Norway,9.87,2,0.83,0.816,0.999,0.973,0.53,WESTERN EUROPE
9,Finland,9.03,3,0.823,0.793,1,0.978,0.519,WESTERN EUROPE
133,Rwanda,3.19,4,0.822,0.82,0.951,0.98,0.539,SUB-SAHARAN AFRICA
3,Sweden,9.39,5,0.816,0.809,0.999,0.969,0.486,WESTERN EUROPE
105,Nicaragua,4.66,6,0.814,0.702,1,0.98,0.576,LATIN AMERICA AND THE CARIBBEAN
36,Slovenia,7.5,7,0.805,0.801,1,0.98,0.44,EASTERN EUROPE AND CENTRAL ASIA
6,Ireland,9.15,8,0.794,0.71,1,0.971,0.493,WESTERN EUROPE
4,New Zealand,9.26,9,0.791,0.768,0.998,0.969,0.43,EAST ASIA AND THE PACIFIC
51,Philippines,6.71,10,0.79,0.764,1,0.979,0.416,EAST ASIA AND THE PACIFIC
29,France,7.8,11,0.778,0.683,1,0.977,0.453,WESTERN EUROPE
13,Germany,8.61,12,0.778,0.72,0.97,0.975,0.447,WESTERN EUROPE
71,Namibia,6.31,13,0.777,0.813,0.999,0.98,0.318,SUB-SAHARAN AFRICA
5,Denmark,9.22,14,0.776,0.728,1,0.971,0.406,WESTERN EUROPE
14,United Kingdom,8.53,15,0.77,0.705,0.999,0.971,0.404,WESTERN EUROPE
6,Canada,9.15,16,0.769,0.744,1,0.97,0.361,NORTH AMERICA
89,Bolivia,5.49,17,0.758,0.692,0.956,0.976,0.408,LATIN AMERICA AND THE CARIBBEAN
47,Bulgaria,7.03,18,0.756,0.71,0.99,0.979,0.346,EASTERN EUROPE AND CENTRAL ASIA
41,South Africa,7.24,19,0.756,0.652,0.993,0.98,0.399,SUB-SAHARAN AFRICA
40,Latvia,7.25,20,0.756,0.798,1,0.98,0.246,EASTERN EUROPE AND CENTRAL ASIA
9,Switzerland,9.03,21,0.755,0.743,0.993,0.972,0.314,WESTERN EUROPE
153,Burundi,2.33,22,0.755,0.911,0.876,0.98,0.255,SUB-SAHARAN AFRICA
19,Spain,8.08,24,0.746,0.657,0.998,0.973,0.354,WESTERN EUROPE
131,Cuba,3.31,25,0.745,0.629,1,0.97,0.382,LATIN AMERICA AND THE CARIBBEAN
138,Belarus,3.13,26,0.744,0.827,0.999,0.979,0.173,EASTERN EUROPE AND CENTRAL ASIA
37,Lithuania,7.41,28,0.742,0.749,1,0.98,0.241,EASTERN EUROPE AND CENTRAL ASIA
115,Mozambique,4.02,29,0.741,0.789,0.857,0.977,0.34,SUB-SAHARAN AFRICA
78,Moldova,5.94,30,0.74,0.811,0.992,0.98,0.176,EASTERN EUROPE AND CENTRAL ASIA
32,Belgium,7.78,31,0.739,0.716,1,0.976,0.264,WESTERN EUROPE
11,Netherlands,8.89,32,0.737,0.657,1,0.97,0.323,WESTERN EUROPE
26,Portugal,7.84,33,0.734,0.73,0.992,0.977,0.24,WESTERN EUROPE
48,Argentina,6.96,34,0.732,0.596,0.998,0.98,0.356,LATIN AMERICA AND THE CARIBBEAN
8,Australia,9.09,35,0.731,0.724,1,0.97,0.232,EAST ASIA AND THE PACIFIC
53,Colombia,6.67,36,0.731,0.74,1,0.98,0.206,LATIN AMERICA AND THE CARIBBEAN
30,Estonia,7.79,37,0.731,0.726,1,0.979,0.218,EASTERN EUROPE AND CENTRAL ASIA
77,Albania,5.98,38,0.728,0.673,0.986,0.968,0.284,EASTERN EUROPE AND CENTRAL ASIA
53,Poland,6.67,39,0.728,0.702,1,0.98,0.23,EASTERN EUROPE AND CENTRAL ASIA
66,Serbia,6.41,40,0.727,0.67,0.997,0.98,0.262,EASTERN EUROPE AND CENTRAL ASIA
