generation,region,number,party,candidate,sex,result
1 ,서울특별시,1,민주자유당,정원식,남,낙
1 ,서울특별시,2,민주당,조순,남,당
1 ,서울특별시,3,친민당,박홍래,남,낙
1 ,서울특별시,4,통일한국당,고순복,남,낙
1 ,서울특별시,5,무소속,김명호,남,낙
1 ,서울특별시,6,무소속,김옥선,여,낙
1 ,서울특별시,7,무소속,박찬종,남,낙
1 ,서울특별시,8,무소속,정기용,남,낙
1 ,서울특별시,9,무소속,황산성,여,낙
1 ,부산광역시,1,민주자유당,문정수,남,당
1 ,부산광역시,2,민주당,노무현,남,낙
1 ,부산광역시,3,무소속,김현옥,남,낙
1 ,부산광역시,4,무소속,배상한,남,낙
1 ,대구광역시,1,민주자유당,조해녕,남,낙
1 ,대구광역시,2,자유민주연합,이의익,남,낙
1 ,대구광역시,3,무소속,문희갑,남,당
1 ,대구광역시,4,무소속,안유호,남,낙
1 ,대구광역시,5,무소속,이해봉,남,낙
1 ,인천광역시,1,민주자유당,최기선,남,당
1 ,인천광역시,2,민주당,신용석,남,낙
1 ,인천광역시,3,자유민주연합,강우혁,남,낙
1 ,광주광역시,1,민주자유당,김동환,남,낙
1 ,광주광역시,2,민주당,송언종,남,당
1 ,대전광역시,1,민주자유당,염홍철,남,낙
1 ,대전광역시,2,민주당,변평섭,남,낙
1 ,대전광역시,3,자유민주연합,홍선기,남,당
1 ,대전광역시,4,무소속,이대형,남,낙
1 ,경기도,1,민주자유당,이인제,남,당
1 ,경기도,2,민주당,장경우,남,낙
1 ,경기도,3,자유민주연합,김문원,남,낙
1 ,경기도,4,무소속,임사빈,남,낙
1 ,강원도,1,민주자유당,이상룡,남,낙
1 ,강원도,2,자유민주연합,최각규,남,당
1 ,충청북도,1,민주자유당,김덕영,남,낙
1 ,충청북도,2,민주당,이용희,남,낙
1 ,충청북도,3,자유민주연합,주병덕,남,당
1 ,충청북도,4,무소속,양성연,남,낙
1 ,충청북도,5,무소속,윤석조,남,낙
1 ,충청북도,6,무소속,조남성,남,낙
1 ,충청남도,1,민주자유당,박중배,남,낙
1 ,충청남도,2,민주당,조중연,남,낙
1 ,충청남도,3,자유민주연합,심대평,남,당
1 ,전라북도,1,민주자유당,강현욱,남,낙
1 ,전라북도,2,민주당,유종근,남,당
1 ,전라남도,1,민주자유당,전석홍,남,낙
1 ,전라남도,2,민주당,허경만,남,당
1 ,경상북도,1,민주자유당,이의근,남,당
1 ,경상북도,2,자유민주연합,박준홍,남,낙
1 ,경상북도,3,무소속,이판석,남,낙
1 ,경상남도,1,민주자유당,김혁규,남,당
1 ,경상남도,2,자유민주연합,김용균,남,낙
1 ,제주도,1,민주자유당,우근민,남,낙
1 ,제주도,2,민주당,강보성,남,낙
1 ,제주도,3,무소속,신구범,남,당
1 ,제주도,4,무소속,신두완,남,낙
2 ,서울특별시,1,한나라당,최병렬,남,낙
